teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds
None,wallacebt,None,None,1,5.0,39086,1.0,0,400875,1.0,0,399326,1.0,0,405711,1.0,0,512478,1.0,0,626929
None,Pescotapa_Pitombinha,None,None,2,5.0,42451,1.0,2,448966,1.0,0,489255,1.0,0,495138,1.0,0,501461,1.0,1,608804
None,PedroGallo,None,None,3,5.0,51626,1.0,0,608734,1.0,2,619079,1.0,0,620303,1.0,0,622990,1.0,0,624205
None,DRaposo,None,None,4,5.0,57560,1.0,0,687427,1.0,1,688310,1.0,0,690449,1.0,0,692716,1.0,0,693614
None,Z3D3S,None,None,5,5.0,74661,1.0,0,689615,1.0,0,696264,1.0,5,1024942,1.0,0,1028690,1.0,0,1034339
None,giovana12,None,None,6,5.0,85687,1.0,0,665965,1.0,5,682710,1.0,0,1523059,1.0,0,1128835,1.0,2,1132415
None,lflamellas,None,None,7,5.0,101921,1.0,0,434184,1.0,4,494661,1.0,5,1722582,1.0,2,1727256,1.0,0,1723522
None,Joao.F,None,None,8,5.0,110947,1.0,7,1541558,1.0,0,957039,1.0,0,1564944,1.0,0,1031604,1.0,3,1549827
None,natalylacerda,None,None,9,5.0,112982,1.0,0,787591,1.0,1,1379670,1.0,2,1565368,1.0,1,1573632,1.0,1,1466804
None,NightOff,None,None,10,5.0,113251,1.0,0,788305,1.0,3,1379781,1.0,1,1534634,1.0,1,1542100,1.0,0,1544348
None,VitinXD,None,None,11,5.0,126910,1.0,0,1129944,1.0,5,1572211,1.0,0,1562946,1.0,0,1634623,1.0,1,1707832
None,JoaoBispo110,None,None,12,5.0,130238,1.0,2,1553577,1.0,0,1556608,1.0,0,1558591,1.0,0,1568421,1.0,1,1573620
None,luanfreitas5,None,None,13,5.0,130253,1.0,0,1562845,1.0,6,1554495,1.0,5,1566840,1.0,0,1557555,1.0,0,1560337
None,AlvaroLuz,None,None,14,5.0,131928,1.0,1,1495353,1.0,1,1502638,1.0,2,1596681,1.0,0,1586819,1.0,4,1724773
None,lucas.costa19,None,None,15,5.0,133672,1.0,4,1486229,1.0,0,1497536,1.0,0,1648615,1.0,3,1659200,1.0,1,1719302
None,LuanP,None,None,16,5.0,134259,1.0,0,1548328,1.0,3,1623001,1.0,0,1623912,1.0,0,1625450,1.0,0,1631360
None,Avestruz_que_te_Seduz,None,None,17,5.0,136772,1.0,0,1623203,1.0,4,1642256,1.0,0,1644141,1.0,0,1645519,1.0,0,1646558
None,G_Cesario,None,None,18,5.0,137454,1.0,0,1540871,1.0,0,1546843,1.0,3,1714458,1.0,1,1717691,1.0,2,1720295
None,leoakira,None,None,19,4.0,68181,1.0,0,1015323,1.0,2,1017465,1.0,0,1018987,1.0,1,1035586,0.0,3,None
None,LiL_Teus,None,None,20,4.0,71700,1.0,2,513877,1.0,5,513665,1.0,5,1636849,0.0,0,None,1.0,4,1618512
None,kayambacha,None,None,21,4.0,101437,1.0,0,1481805,1.0,0,1488892,0.0,0,None,1.0,0,1554292,1.0,0,1561432
None,brunocmarino,None,None,22,4.0,108565,1.0,0,1548937,1.0,0,1558466,1.0,2,1697146,1.0,0,1707063,0.0,0,None
None,alice7lima,None,None,23,4.0,108593,1.0,0,1522879,1.0,4,1617478,1.0,0,1708172,0.0,0,None,1.0,0,1662412
None,pedrohmoura,None,None,24,4.0,109421,1.0,3,1664248,1.0,1,1657886,0.0,0,None,1.0,1,1666428,1.0,0,1570823
None,gabrielsylar,None,None,25,4.0,113456,1.0,0,1719303,1.0,1,1708475,0.0,5,None,1.0,0,1704795,1.0,1,1672456
None,Fabio_Santos,None,None,26,3.0,42662,1.0,0,492250,1.0,1,495415,0.0,2,None,0.0,0,None,1.0,4,1566174
None,Bitt,None,None,27,3.0,43742,1.0,0,491274,1.0,2,493361,0.0,1,None,0.0,0,None,1.0,1,1636436
None,tutukiller,None,None,28,3.0,54323,1.0,0,601309,0.0,3,None,1.0,0,1533915,0.0,1,None,1.0,1,1123061
None,ananaps,None,None,29,2.0,57561,1.0,0,1725831,0.0,1,None,1.0,0,1727938,0.0,0,None,0.0,1,None
None,pablo_aaaa,None,None,30,1.0,8236,0.0,0,None,1.0,0,494217,0.0,0,None,0.0,0,None,0.0,0,None
None,nunesgrf,None,None,31,1.0,11612,1.0,1,695571,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,Poskvansk,None,None,32,0.0,0,0.0,4,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
