teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds,F_points,F_rejectedAttemptCount,F_bestSubmissionTimeSeconds,G_points,G_rejectedAttemptCount,G_bestSubmissionTimeSeconds,H_points,H_rejectedAttemptCount,H_bestSubmissionTimeSeconds
None,wallacebt,None,None,1,8.0,5351,1.0,0,23225,1.0,0,25317,1.0,0,25640,1.0,0,27425,1.0,0,29902,1.0,0,27697,1.0,0,27618,1.0,0,134454
None,PedroGallo,None,None,2,8.0,18609,1.0,4,134286,1.0,0,64347,1.0,0,64927,1.0,0,69340,1.0,1,66041,1.0,0,66629,1.0,0,67875,1.0,0,577282
None,luanfreitas5,None,None,3,8.0,30185,1.0,0,138507,1.0,0,141916,1.0,0,142691,1.0,0,226286,1.0,1,226847,1.0,0,227427,1.0,0,230145,1.0,0,476301
None,DRaposo,None,None,4,8.0,51507,1.0,1,563316,1.0,0,293260,1.0,0,293847,1.0,0,297381,1.0,1,565129,1.0,0,356680,1.0,0,358925,1.0,0,359736
None,lflamellas,None,None,5,8.0,53921,1.0,0,44459,1.0,0,51700,1.0,0,52820,1.0,2,572008,1.0,1,625237,1.0,0,626706,1.0,0,628881,1.0,0,630063
None,Z3D3S,None,None,6,8.0,60550,1.0,0,395118,1.0,0,396425,1.0,0,397502,1.0,6,463919,1.0,17,476936,1.0,2,488503,1.0,0,491571,1.0,0,493294
None,giovana12,None,None,7,8.0,82854,1.0,2,469459,1.0,0,470701,1.0,0,471584,1.0,0,715764,1.0,5,726000,1.0,0,646650,1.0,1,729226,1.0,0,732465
None,alice7lima,None,None,8,8.0,90268,1.0,2,470712,1.0,0,393652,1.0,0,403126,1.0,0,817682,1.0,3,838947,1.0,0,821500,1.0,0,827061,1.0,1,836408
None,VitinXD,None,None,9,8.0,95044,1.0,2,627921,1.0,0,471933,1.0,0,628663,1.0,0,636646,1.0,4,726028,1.0,0,642263,1.0,0,732523,1.0,0,1229751
None,Pescotapa_Pitombinha,None,None,10,8.0,96888,1.0,0,710720,1.0,0,711748,1.0,0,713548,1.0,2,718627,1.0,4,720400,1.0,0,721801,1.0,0,750381,1.0,1,757851
None,gabrielsylar,None,None,11,8.0,99014,1.0,0,412058,1.0,0,418739,1.0,0,453254,1.0,1,1024063,1.0,7,1090353,1.0,1,1035141,1.0,0,1088046,1.0,1,407423
None,G_Cesario,None,None,12,8.0,114361,1.0,4,1195064,1.0,0,478303,1.0,1,639430,1.0,3,1275034,1.0,4,807250,1.0,0,813975,1.0,0,817564,1.0,1,819620
None,Avestruz_que_te_Seduz,None,None,13,8.0,117015,1.0,0,831662,1.0,0,832345,1.0,0,833779,1.0,1,835504,1.0,0,844523,1.0,0,846650,1.0,0,848644,1.0,0,1146727
None,Joao.F,None,None,14,8.0,119099,1.0,1,1185057,1.0,4,474965,1.0,1,477026,1.0,7,1193355,1.0,1,725346,1.0,3,1256006,1.0,2,730725,1.0,0,1080852
None,AlvaroLuz,None,None,15,8.0,135659,1.0,1,1001772,1.0,0,1003939,1.0,1,1005307,1.0,1,1016464,1.0,0,1022936,1.0,1,1024629,1.0,0,1029379,1.0,0,1030460
None,tutukiller,None,None,16,8.0,146648,1.0,4,645812,1.0,3,1261059,1.0,0,472686,1.0,5,1274419,1.0,9,1278972,1.0,0,1272287,1.0,0,1280327,1.0,2,1285920
None,auntduda,None,None,17,8.0,158623,1.0,3,1256358,1.0,0,982708,1.0,0,987146,1.0,1,1258529,1.0,2,1259470,1.0,0,1260828,1.0,0,1266068,1.0,0,1239293
None,nunesgrf,None,None,18,8.0,166345,1.0,4,1244548,1.0,0,1245334,1.0,1,1245798,1.0,7,1253436,1.0,7,1251329,1.0,0,1239205,1.0,0,1238034,1.0,0,1240498
None,kayambacha,None,None,19,7.0,54559,1.0,0,426507,1.0,0,428487,1.0,0,429204,1.0,0,432387,1.0,1,516126,1.0,0,517998,1.0,0,521817,0.0,0,None
None,LucasABM,None,None,20,7.0,91923,1.0,2,403113,1.0,1,407598,1.0,0,407861,0.0,4,None,1.0,2,1070812,1.0,0,1071637,1.0,0,1074077,1.0,0,1074500
None,NightOff,None,None,21,7.0,108530,1.0,0,455440,1.0,3,540004,1.0,1,541425,0.0,2,None,1.0,6,1239364,1.0,2,1177950,1.0,0,1277852,1.0,0,1265564
None,pedrohmoura,None,None,22,7.0,115010,1.0,0,1267290,1.0,1,407278,1.0,0,408291,1.0,1,1279041,1.0,3,1276852,1.0,0,1073873,1.0,0,1182289,0.0,0,None
None,LuanP,None,None,23,6.0,78539,1.0,0,708235,1.0,0,708938,1.0,0,709385,0.0,0,None,1.0,1,712252,1.0,0,712856,1.0,0,1159724,0.0,0,None
None,pedrol3001,None,None,24,6.0,91151,1.0,6,1260434,1.0,0,658927,1.0,1,659886,0.0,0,None,1.0,7,1260896,1.0,0,802915,0.0,0,None,1.0,3,805760
None,ananaps,None,None,25,6.0,123083,1.0,1,1185789,1.0,0,1186747,1.0,0,1187012,0.0,0,None,1.0,3,1273603,1.0,1,1272976,1.0,1,1271805,0.0,0,None
None,brunocmarino,None,None,26,6.0,127287,1.0,5,1265503,1.0,1,1267679,1.0,0,1268762,1.0,0,1277355,0.0,0,None,1.0,0,1271359,1.0,0,1279559,0.0,0,None
None,natalylacerda,None,None,27,6.0,127832,1.0,0,1275060,1.0,0,1277030,1.0,1,1277927,0.0,0,None,1.0,0,1278636,1.0,0,1279715,0.0,0,None,1.0,0,1280538
None,Fabio_Santos,None,None,28,5.0,68506,1.0,2,549755,1.0,0,550647,1.0,2,558439,0.0,2,None,1.0,2,1158199,1.0,4,1281475,0.0,0,None,0.0,0,None
None,LiL_Teus,None,None,29,5.0,69331,1.0,7,552323,1.0,0,555216,1.0,0,562639,0.0,0,None,1.0,5,1230165,1.0,0,1245269,0.0,0,None,0.0,0,None
None,lucas.costa19,None,None,30,4.0,55082,1.0,1,476642,1.0,0,832718,1.0,0,1018739,0.0,0,None,0.0,1,None,1.0,1,974565,0.0,0,None,0.0,0,None
None,leoakira,None,None,31,3.0,23340,1.0,0,463371,1.0,0,464354,0.0,2,None,0.0,1,None,0.0,0,None,1.0,2,470380,0.0,1,None,0.0,0,None
None,Bitt,None,None,32,2.0,38070,1.0,1,1141134,1.0,0,1141945,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,pablo_aaaa,None,None,33,1.0,17953,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,1.0,0,1077223,0.0,0,None,0.0,0,None,0.0,0,None
None,gabriel.ritter99,None,None,34,0.0,0,0.0,2,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
