teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds
None,wallacebt,None,None,1,3.0,5155,1.0,0,101950,1.0,0,103390,1.0,0,103994
None,luanfreitas5,None,None,2,3.0,16451,1.0,1,276524,1.0,1,277145,1.0,0,431053
None,DRaposo,None,None,3,3.0,16964,1.0,0,337394,1.0,1,339328,1.0,0,339990
None,PedroGallo,None,None,4,3.0,25965,1.0,0,429382,1.0,2,695921,1.0,0,430304
None,Pescotapa_Pitombinha,None,None,5,3.0,43129,1.0,0,784433,1.0,7,877777,1.0,0,917264
None,lflamellas,None,None,6,3.0,46083,1.0,0,604030,1.0,7,1049534,1.0,0,1103083
None,LucasABM,None,None,7,3.0,46414,1.0,0,436254,1.0,2,1154568,1.0,0,1191722
None,VitinXD,None,None,8,3.0,48815,1.0,0,853972,1.0,0,1217830,1.0,0,857209
None,nunesgrf,None,None,9,3.0,49103,1.0,0,437172,1.0,6,1291190,1.0,2,1208297
None,gabrielsylar,None,None,10,3.0,49126,1.0,1,438662,1.0,3,1289014,1.0,1,1213935
None,Joao.F,None,None,11,3.0,51947,1.0,1,852972,1.0,15,1210948,1.0,0,1033771
None,AlvaroLuz,None,None,12,3.0,53400,1.0,2,1063713,1.0,1,1066940,1.0,1,1068628
None,Avestruz_que_te_Seduz,None,None,13,3.0,55688,1.0,0,1105876,1.0,1,1117012,1.0,0,1117314
None,Z3D3S,None,None,14,3.0,60423,1.0,22,1064230,1.0,49,1281561,1.0,0,1194420
None,G_Cesario,None,None,15,3.0,61677,1.0,1,1231708,1.0,0,1235253,1.0,0,1232540
None,pedrol3001,None,None,16,2.0,28361,1.0,1,485393,0.0,1,None,1.0,0,1215178
None,alice7lima,None,None,17,2.0,28536,1.0,1,853947,0.0,0,None,1.0,0,857049
None,giovana12,None,None,18,2.0,28568,1.0,0,853304,0.0,8,None,1.0,0,860840
None,auntduda,None,None,19,2.0,29036,1.0,0,448729,0.0,0,None,1.0,2,1291092
None,LuanP,None,None,20,2.0,37293,1.0,0,1117263,0.0,4,None,1.0,0,1120337
None,LiL_Teus,None,None,21,2.0,38139,1.0,7,1094881,0.0,3,None,1.0,0,1185069
None,pedrohmoura,None,None,22,2.0,41088,1.0,0,1232151,0.0,0,None,1.0,0,1233182
None,Fabio_Santos,None,None,23,1.0,15801,1.0,1,946900,0.0,5,None,0.0,2,None
None,Bitt,None,None,24,1.0,16843,1.0,0,1010623,0.0,0,None,0.0,2,None
None,brunocmarino,None,None,25,1.0,21469,1.0,2,1285793,0.0,0,None,0.0,0,None
None,NightOff,None,None,26,1.0,21523,1.0,5,1285437,0.0,0,None,0.0,0,None
None,tutukiller,None,None,27,1.0,21634,1.0,3,1294473,0.0,3,None,0.0,2,None
None,leoakira,None,None,28,0.0,0,0.0,10,None,0.0,1,None,0.0,0,None
