teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds
None,DRaposo,None,None,1,4.0,70,1.0,0,399,1.0,0,710,1.0,0,1402,1.0,0,1809
None,wallacebt,None,None,2,4.0,76,1.0,0,308,1.0,1,771,1.0,0,1518,1.0,0,880
None,luanfreitas5,None,None,3,4.0,113,1.0,0,784,1.0,0,1441,1.0,0,3649,1.0,0,1010
None,PedroGallo,None,None,4,4.0,163,1.0,0,244,1.0,0,578,1.0,4,3047,1.0,0,1214
None,kayambacha,None,None,5,4.0,167,1.0,0,567,1.0,0,1324,1.0,0,2928,1.0,1,4139
None,LucasABM,None,None,6,4.0,178,1.0,0,445,1.0,0,772,1.0,0,1788,1.0,3,4211
None,nunesgrf,None,None,7,4.0,208,1.0,0,405,1.0,0,1308,1.0,0,2380,1.0,3,4944
None,gabrielsylar,None,None,8,4.0,267,1.0,0,522,1.0,0,2439,1.0,2,4237,1.0,0,6545
None,lflamellas,None,None,9,4.0,366,1.0,0,1123,1.0,1,2072,1.0,1,3106,1.0,4,8597
None,ananaps,None,None,10,4.0,381,1.0,0,1547,1.0,1,2944,1.0,1,3560,1.0,3,8899
None,Pescotapa_Pitombinha,None,None,11,4.0,510,1.0,1,503,1.0,2,1696,1.0,3,2946,1.0,8,8759
None,Avestruz_que_te_Seduz,None,None,12,3.0,104,1.0,1,889,1.0,0,1441,1.0,0,2773,0.0,11,None
None,G_Cesario,None,None,13,3.0,105,1.0,1,874,1.0,0,1633,1.0,0,2658,0.0,8,None
None,LuanP,None,None,14,3.0,108,1.0,0,251,1.0,1,748,1.0,2,1967,0.0,0,None
None,Bitt,None,None,15,3.0,112,1.0,0,477,1.0,0,1056,0.0,0,None,1.0,1,4088
None,leoakira,None,None,16,3.0,128,1.0,0,265,1.0,2,1275,1.0,1,2602,0.0,1,None
None,lucas.costa19,None,None,17,3.0,149,1.0,0,538,1.0,0,1474,1.0,2,4654,0.0,0,None
None,pedrohmoura,None,None,18,3.0,153,1.0,0,762,1.0,1,2412,1.0,0,4864,0.0,0,None
None,giovana12,None,None,19,3.0,182,1.0,0,313,1.0,2,1248,1.0,1,5843,0.0,0,None
None,brunocmarino,None,None,20,3.0,202,1.0,0,530,1.0,3,3536,1.0,0,4600,0.0,3,None
None,gabriel.ritter99,None,None,21,3.0,223,1.0,1,1094,1.0,0,4752,1.0,0,6416,0.0,0,None
None,AlvaroLuz,None,None,22,3.0,234,1.0,1,597,1.0,1,2491,1.0,1,7454,0.0,5,None
None,natalylacerda,None,None,23,3.0,253,1.0,0,1534,1.0,1,3937,1.0,0,8596,0.0,0,None
None,alice7lima,None,None,24,3.0,264,1.0,3,2038,1.0,0,2788,1.0,1,6310,0.0,0,None
None,Z3D3S,None,None,25,3.0,340,1.0,1,1215,1.0,2,2396,1.0,4,8518,0.0,1,None
None,VitinXD,None,None,26,3.0,348,1.0,3,1009,1.0,1,2732,1.0,5,6467,0.0,0,None
None,Fabio_Santos,None,None,27,2.0,34,1.0,0,537,1.0,0,1575,0.0,0,None,0.0,3,None
None,karenlimacdo,None,None,28,2.0,59,1.0,1,656,1.0,0,1758,0.0,0,None,0.0,0,None
None,tutukiller,None,None,29,2.0,74,1.0,1,1398,1.0,0,1897,0.0,3,None,0.0,7,None
None,LiL_Teus,None,None,30,2.0,89,1.0,0,767,1.0,1,3477,0.0,0,None,0.0,0,None
None,pedrol3001,None,None,31,2.0,105,1.0,0,513,1.0,3,2246,0.0,6,None,0.0,4,None
None,rafaelsilva2535,None,None,32,2.0,119,1.0,1,1898,1.0,1,2898,0.0,0,None,0.0,2,None
None,NightOff,None,None,33,2.0,120,1.0,2,1792,1.0,0,3096,0.0,3,None,0.0,1,None
None,auntduda,None,None,34,2.0,151,1.0,0,1549,0.0,0,None,0.0,0,None,1.0,1,6381
None,Joao.F,None,None,35,2.0,192,1.0,1,381,1.0,4,5162,0.0,0,None,0.0,5,None
None,JoaoBispo110,None,None,36,2.0,229,1.0,0,938,0.0,3,None,1.0,3,9269,0.0,4,None
None,Poskvansk,None,None,37,2.0,286,1.0,3,6591,1.0,2,4677,0.0,0,None,0.0,0,None
None,lucpena,None,None,38,1.0,54,1.0,0,3279,0.0,2,None,0.0,0,None,0.0,1,None
