teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds,F_points,F_rejectedAttemptCount,F_bestSubmissionTimeSeconds,G_points,G_rejectedAttemptCount,G_bestSubmissionTimeSeconds
Zoldyck Freecss,wallacebt,PedroGallo,None,1,7.0,267,1.0,0,600,1.0,0,311,1.0,1,2755,1.0,0,1014,1.0,0,1535,1.0,0,2118,1.0,1,5490
luan_pc2021-1,luanfreitas5,None,None,2,7.0,297,1.0,0,793,1.0,0,1251,1.0,0,1785,1.0,0,5399,1.0,0,2083,1.0,0,3069,1.0,0,3700
A_meta_é_Acertar_Duas,Avestruz_que_te_Seduz,Pescotapa_Pitombinha,None,3,7.0,368,1.0,1,812,1.0,0,705,1.0,1,3271,1.0,0,1417,1.0,0,1700,1.0,0,2454,1.0,2,7163
[UnB] Cabras da Peste,JoaoBispo110,DRaposo,None,4,6.0,156,1.0,0,1329,1.0,0,521,1.0,0,1183,1.0,0,1571,1.0,0,2336,1.0,0,2580,0.0,3,None
[Unb|CiC] Akita,leoakira,None,None,5,6.0,249,1.0,0,818,1.0,0,930,1.0,0,1270,1.0,0,4695,1.0,0,3057,1.0,0,4339,0.0,3,None
So Sei HTML,LuanP,None,None,6,6.0,255,1.0,0,983,1.0,0,1684,1.0,0,2724,1.0,0,3026,1.0,0,3281,1.0,0,3747,0.0,1,None
ABM,LucasABM,None,None,7,6.0,258,1.0,0,717,1.0,0,1687,1.0,0,2332,1.0,0,2743,1.0,0,3777,1.0,0,4483,0.0,4,None
Donda,nunesgrf,Z3D3S,None,8,6.0,301,1.0,2,3016,1.0,0,585,1.0,0,1096,1.0,0,1770,1.0,0,3273,1.0,0,6112,0.0,6,None
[UnB|CiC] Esquadrão Ômega,Joao.F,G_Cesario,None,9,6.0,337,1.0,0,1289,1.0,0,2097,1.0,0,2486,1.0,0,4444,1.0,0,3371,1.0,0,6716,0.0,7,None
radical,rafaelsilva2535,tutukiller,None,10,6.0,381,1.0,0,1924,1.0,0,1217,1.0,1,2700,1.0,0,2125,1.0,0,1047,1.0,4,7928,0.0,1,None
[Unb] pedrol3001,pedrol3001,None,None,11,6.0,445,1.0,0,975,1.0,1,2917,1.0,0,3911,1.0,0,4367,1.0,0,7149,1.0,0,6334,0.0,0,None
Jackie Kelso,ananaps,lflamellas,None,12,6.0,726,1.0,0,1177,1.0,0,2595,1.0,0,3043,1.0,8,7869,1.0,0,5741,1.0,5,7698,0.0,0,None
Madeuses,Bitt,LiL_Teus,None,13,5.0,193,1.0,0,678,1.0,0,1410,1.0,0,2510,1.0,1,3092,1.0,0,2838,0.0,3,None,0.0,2,None
"Jonas Brothers do Halls, so q sao so dois. O terceiro se afogou",VitinXD,AlvaroLuz,None,14,5.0,426,1.0,2,3448,1.0,0,2341,1.0,0,4101,1.0,1,7644,1.0,0,4555,0.0,0,None,0.0,0,None
Amigos do Bruno,brunocmarino,lucas.costa19,None,15,5.0,429,1.0,1,1401,1.0,1,4937,1.0,0,4704,1.0,0,5874,1.0,0,6544,0.0,0,None,0.0,3,None
[UnB-CiC] Saudade da Tong,giovana12,alice7lima,None,16,5.0,447,1.0,0,1048,1.0,0,1874,1.0,0,4063,1.0,6,8056,1.0,0,4714,0.0,1,None,0.0,1,None
Cabelo Rosa,natalylacerda,NightOff,None,17,4.0,232,1.0,0,1625,1.0,0,3585,1.0,1,3439,0.0,0,None,1.0,0,4177,0.0,1,None,0.0,0,None
[UnB]SoloKayamba,kayambacha,None,None,18,3.0,163,1.0,0,2439,0.0,0,None,0.0,0,None,1.0,0,3413,1.0,0,4054,0.0,1,None,0.0,1,None
Fabinho,Fabio_Santos,None,None,19,3.0,287,1.0,2,7775,1.0,0,3150,0.0,0,None,0.0,0,None,1.0,0,3998,0.0,0,None,0.0,0,None
[UnB|CiC] paint.txt,gabrielsylar,auntduda,None,20,3.0,314,1.0,1,2232,1.0,0,7277,1.0,1,7006,0.0,1,None,0.0,0,None,0.0,0,None,0.0,1,None
Dobrador de lágrimas,Poskvansk,None,None,21,3.0,342,1.0,0,3746,1.0,1,7126,1.0,1,7360,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
Bruno Souzas Hair,pedrohmoura,robertocaixeta102,None,22,2.0,190,0.0,4,None,1.0,0,3595,0.0,1,None,0.0,1,None,1.0,0,7919,0.0,0,None,0.0,0,None
gr99,gabriel.ritter99,None,None,23,0.0,0,0.0,2,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
