teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds,F_points,F_rejectedAttemptCount,F_bestSubmissionTimeSeconds
None,DRaposo,None,None,1,6.0,1993,1.0,0,17078,1.0,0,17530,1.0,1,19601,1.0,0,20590,1.0,0,21598,1.0,0,22193
None,wallacebt,None,None,2,6.0,25368,1.0,1,251689,1.0,0,251997,1.0,0,252375,1.0,0,254346,1.0,0,254997,1.0,0,255718
None,LuanP,None,None,3,6.0,36393,1.0,1,362407,1.0,0,362900,1.0,0,363137,1.0,0,363823,1.0,0,364652,1.0,0,365601
None,G_Cesario,None,None,4,6.0,55783,1.0,0,553494,1.0,0,554954,1.0,0,555433,1.0,0,558922,1.0,0,561582,1.0,0,562746
None,lflamellas,None,None,5,6.0,61596,1.0,1,541911,1.0,2,628392,1.0,0,628752,1.0,0,630058,1.0,0,630901,1.0,0,632335
None,Z3D3S,None,None,6,6.0,68698,1.0,2,427983,1.0,0,452451,1.0,0,454811,1.0,1,477021,1.0,1,1150558,1.0,0,1154435
None,LucasABM,None,None,7,6.0,78979,1.0,1,512409,1.0,0,517737,1.0,0,877331,1.0,0,893833,1.0,2,966661,1.0,0,967313
None,PedroGallo,None,None,8,6.0,81205,1.0,0,805521,1.0,0,805925,1.0,0,806994,1.0,0,816506,1.0,0,819126,1.0,0,818377
None,Pescotapa_Pitombinha,None,None,9,6.0,87974,1.0,3,544097,1.0,1,942447,1.0,0,942947,1.0,1,945811,1.0,0,948401,1.0,0,948935
None,brunocmarino,None,None,10,6.0,88145,1.0,0,876532,1.0,0,878433,1.0,0,878925,1.0,0,881970,1.0,0,883863,1.0,0,889161
None,luanfreitas5,None,None,11,6.0,96917,1.0,0,1141351,1.0,1,1141057,1.0,0,794896,1.0,0,795937,1.0,1,797007,1.0,0,1142534
None,lucas.costa19,None,None,12,6.0,101454,1.0,0,960121,1.0,2,962468,1.0,0,971431,1.0,0,991998,1.0,0,1066770,1.0,0,1132196
None,gabrielsylar,None,None,13,6.0,107665,1.0,0,1038753,1.0,1,1039911,1.0,2,1049587,1.0,0,1058514,1.0,0,1134154,1.0,0,1135561
None,Joao.F,None,None,14,6.0,111151,1.0,0,971088,1.0,0,1085681,1.0,1,1147702,1.0,0,1151801,1.0,0,1153851,1.0,0,1157965
None,giovana12,None,None,15,6.0,111850,1.0,1,1115074,1.0,0,1116292,1.0,0,1116738,1.0,0,1119247,1.0,0,1120965,1.0,0,1121652
None,VitinXD,None,None,16,6.0,112016,1.0,0,1115365,1.0,0,1116133,1.0,6,1118333,1.0,0,1120667,1.0,0,1121463,1.0,0,1121945
None,LiL_Teus,None,None,17,6.0,112661,1.0,0,1118886,1.0,0,1120176,1.0,0,1122052,1.0,0,1124671,1.0,0,1135534,1.0,0,1138529
None,NightOff,None,None,18,6.0,115373,1.0,3,1113213,1.0,1,1116374,1.0,1,1118776,1.0,0,1122694,1.0,3,1308372,1.0,0,1133503
None,alice7lima,None,None,19,6.0,115712,1.0,0,1119167,1.0,0,1146841,1.0,0,1147555,1.0,0,1150669,1.0,2,1223325,1.0,0,1152971
None,Avestruz_que_te_Seduz,None,None,20,6.0,120746,1.0,0,1156884,1.0,3,1160417,1.0,0,1229461,1.0,0,1230672,1.0,0,1231343,1.0,0,1232478
None,nunesgrf,None,None,21,6.0,122405,1.0,1,1214743,1.0,1,1215817,1.0,0,1216175,1.0,0,1223018,1.0,8,1238863,1.0,0,1223932
None,ananaps,None,None,22,6.0,124099,1.0,0,1379221,1.0,0,545437,1.0,0,1379383,1.0,0,1379661,1.0,1,1380340,1.0,0,1380892
None,AlvaroLuz,None,None,23,6.0,125624,1.0,2,1237853,1.0,3,1242728,1.0,0,1252780,1.0,0,1263422,1.0,0,1266935,1.0,0,1267891
None,natalylacerda,None,None,24,6.0,126502,1.0,0,1115549,1.0,0,1165217,1.0,3,1322606,1.0,0,1331135,1.0,0,1333315,1.0,0,1318909
None,kayambacha,None,None,25,6.0,128535,1.0,3,1253124,1.0,1,1250724,1.0,0,1261097,1.0,1,1276440,1.0,1,1331565,1.0,0,1332094
