teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds
None,wallacebt,None,None,1,5.0,202,1.0,0,3378,1.0,0,1314,1.0,0,1909,1.0,0,2779,1.0,0,2911
None,PedroGallo,None,None,2,5.0,267,1.0,1,1314,1.0,0,2550,1.0,0,3033,1.0,0,3729,1.0,0,4355
Cabelo Rosa,natalylacerda,NightOff,None,3,5.0,384,1.0,0,1230,1.0,0,2093,1.0,0,4226,1.0,0,7296,1.0,0,8399
None,ananaps,None,None,4,5.0,398,1.0,0,2059,1.0,0,2946,1.0,0,4108,1.0,0,7752,1.0,0,7095
None,lflamellas,None,None,5,5.0,415,1.0,1,1540,1.0,0,2097,1.0,0,3058,1.0,0,7927,1.0,3,5681
None,luanfreitas5,None,None,6,5.0,453,1.0,2,4135,1.0,0,3568,1.0,0,4181,1.0,0,6594,1.0,1,5306
None,LucasABM,None,None,7,4.0,112,1.0,0,237,1.0,0,719,1.0,0,2200,1.0,0,3752,0.0,4,None
None,DRaposo,None,None,8,4.0,201,1.0,1,965,1.0,0,1509,1.0,0,2457,1.0,0,6011,0.0,0,None
None,VitinXD,None,None,9,4.0,221,1.0,0,387,1.0,0,2718,1.0,1,4002,1.0,0,5082,0.0,0,None
None,giovana12,None,None,10,4.0,226,1.0,0,804,1.0,0,2148,1.0,2,3588,1.0,0,4746,0.0,0,None
None,AlvaroLuz,None,None,11,4.0,244,1.0,0,765,1.0,0,1970,1.0,2,4173,1.0,0,5499,0.0,0,None
None,alice7lima,None,None,12,4.0,248,1.0,0,431,1.0,0,2184,1.0,0,3993,0.0,0,None,1.0,0,8377
None,G_Cesario,None,None,13,4.0,253,1.0,0,969,1.0,1,2111,1.0,0,4493,1.0,0,6522,0.0,0,None
None,Avestruz_que_te_Seduz,None,None,14,4.0,284,1.0,0,1406,1.0,0,2328,1.0,2,4727,1.0,0,6348,0.0,0,None
None,Joao.F,None,None,15,4.0,308,1.0,0,389,1.0,0,6532,1.0,0,1855,1.0,2,7453,0.0,0,None
None,leoakira,None,None,16,4.0,316,1.0,1,1240,1.0,0,2620,1.0,2,6620,1.0,0,5036,0.0,0,None
None,LuanP,None,None,17,4.0,321,1.0,1,613,1.0,3,1909,1.0,1,3469,1.0,0,7438,0.0,0,None
None,Z3D3S,None,None,18,3.0,113,1.0,1,787,1.0,0,2197,1.0,0,2681,0.0,1,None,0.0,0,None
None,karenlimacdo,None,None,19,3.0,153,0.0,0,None,1.0,0,1935,1.0,0,2678,1.0,0,4635,0.0,0,None
None,JoaoBispo110,None,None,20,3.0,174,1.0,1,570,1.0,0,2629,0.0,1,None,1.0,0,6160,0.0,2,None
None,lucas.costa19,None,None,21,3.0,198,1.0,0,3102,1.0,1,2983,1.0,0,4726,0.0,0,None,0.0,0,None
None,Pescotapa_Pitombinha,None,None,22,3.0,306,1.0,2,3035,1.0,0,3575,1.0,2,7046,0.0,0,None,0.0,0,None
None,gabriel.ritter99,None,None,23,3.0,310,1.0,0,5928,1.0,0,7792,1.0,0,4981,0.0,0,None,0.0,0,None
None,pedrohmoura,None,None,24,3.0,319,1.0,0,4932,1.0,0,3490,1.0,2,8394,0.0,0,None,0.0,0,None
None,brunocmarino,None,None,25,3.0,374,1.0,1,560,1.0,1,1900,1.0,8,8086,0.0,1,None,0.0,0,None
None,Bitt,None,None,26,2.0,17,1.0,0,146,1.0,0,944,0.0,4,None,0.0,0,None,0.0,0,None
None,kayambacha,None,None,27,2.0,54,1.0,0,1091,1.0,0,2186,0.0,1,None,0.0,0,None,0.0,1,None
None,LiL_Teus,None,None,28,2.0,57,1.0,0,676,1.0,0,2782,0.0,6,None,0.0,0,None,0.0,0,None
None,rafaelsilva2535,None,None,29,2.0,75,1.0,0,1431,0.0,1,None,1.0,0,3134,0.0,0,None,0.0,0,None
None,robertocaixeta102,None,None,30,2.0,103,1.0,0,2376,1.0,0,3890,0.0,2,None,0.0,0,None,0.0,0,None
None,pedrol3001,None,None,31,2.0,122,0.0,9,None,1.0,0,2680,0.0,0,None,1.0,0,4722,0.0,1,None
None,Fabio_Santos,None,None,32,2.0,136,1.0,4,920,1.0,0,2500,0.0,1,None,0.0,0,None,0.0,0,None
None,tutukiller,None,None,33,1.0,14,1.0,0,881,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,auntduda,None,None,34,1.0,50,0.0,3,None,0.0,0,None,1.0,0,3036,0.0,0,None,0.0,0,None
None,Poskvansk,None,None,35,1.0,183,1.0,4,6193,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,gabrielsylar,None,None,36,0.0,0,0.0,3,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
