teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds
None,wallacebt,None,None,1,4.0,27,1.0,0,147,1.0,0,291,1.0,0,403,1.0,0,913
None,PedroGallo,None,None,2,4.0,54,1.0,0,189,1.0,0,372,1.0,0,466,1.0,1,1128
None,tutukiller,None,None,3,4.0,69,1.0,0,192,1.0,0,1045,1.0,0,1147,1.0,0,1849
None,luanfreitas5,None,None,4,4.0,102,1.0,0,662,1.0,0,1627,1.0,0,860,1.0,0,3033
None,Avestruz_que_te_Seduz,None,None,5,4.0,121,1.0,0,270,1.0,0,543,1.0,0,1736,1.0,0,4846
None,DRaposo,None,None,6,4.0,135,1.0,0,262,1.0,0,445,1.0,0,1278,1.0,1,4993
None,lucas.costa19,None,None,7,4.0,142,1.0,0,674,1.0,0,1245,1.0,0,4439,1.0,0,2298
None,NightOff,None,None,8,4.0,145,1.0,0,458,1.0,0,877,1.0,0,1058,1.0,1,5252
None,Z3D3S,None,None,9,4.0,155,1.0,0,231,1.0,0,451,1.0,2,4834,1.0,0,1507
None,G_Cesario,None,None,10,4.0,158,1.0,0,210,1.0,0,544,1.0,0,1094,1.0,0,7738
None,pedrohmoura,None,None,11,4.0,161,1.0,0,959,1.0,0,1747,1.0,0,4157,1.0,0,2895
None,natalylacerda,None,None,12,4.0,183,1.0,0,257,1.0,0,1633,1.0,1,1222,1.0,1,5535
None,lflamellas,None,None,13,4.0,194,1.0,1,228,1.0,0,450,1.0,0,2071,1.0,2,5408
None,brunocmarino,None,None,14,4.0,216,1.0,1,756,1.0,0,1386,1.0,0,6785,1.0,0,2934
None,ananaps,None,None,15,4.0,359,1.0,0,458,1.0,3,1554,1.0,3,5164,1.0,1,6119
None,LucasABM,None,None,16,3.0,39,1.0,0,151,1.0,0,559,1.0,0,1724,0.0,0,None
None,karenlimacdo,None,None,17,3.0,65,1.0,0,461,1.0,0,1113,0.0,0,None,1.0,0,2416
None,giovana12,None,None,18,3.0,98,1.0,0,302,1.0,0,582,1.0,1,3888,0.0,0,None
None,auntduda,None,None,19,3.0,108,1.0,0,173,1.0,0,620,0.0,4,None,1.0,2,3398
None,gabriel.ritter99,None,None,20,3.0,134,1.0,0,653,1.0,0,1135,1.0,1,5165,0.0,0,None
None,alice7lima,None,None,21,3.0,146,1.0,0,648,1.0,1,1389,1.0,0,5584,0.0,0,None
None,gabrielsylar,None,None,22,3.0,164,1.0,0,974,1.0,0,3559,0.0,0,None,1.0,0,5353
None,LuanP,None,None,23,2.0,9,1.0,0,220,1.0,0,398,0.0,0,None,0.0,0,None
None,AlvaroLuz,None,None,24,2.0,20,1.0,0,400,1.0,0,844,0.0,1,None,0.0,1,None
None,Pescotapa_Pitombinha,None,None,25,2.0,43,1.0,0,1216,1.0,0,1380,0.0,2,None,0.0,0,None
None,pedrol3001,None,None,26,2.0,93,1.0,0,2362,1.0,1,2072,0.0,0,None,0.0,0,None
None,Poskvansk,None,None,27,2.0,106,1.0,0,503,1.0,0,5894,0.0,3,None,0.0,0,None
