teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds,F_points,F_rejectedAttemptCount,F_bestSubmissionTimeSeconds,G_points,G_rejectedAttemptCount,G_bestSubmissionTimeSeconds,H_points,H_rejectedAttemptCount,H_bestSubmissionTimeSeconds
A_meta_é_Acertar_Duas,Avestruz_que_te_Seduz,Pescotapa_Pitombinha,None,1,8.0,461,1.0,0,954,1.0,0,1221,1.0,0,3203,1.0,0,1796,1.0,0,3431,1.0,0,4888,1.0,1,6308,1.0,0,4886
FT maior que CIC ?!,PedroGallo,wallacebt,None,2,8.0,492,1.0,0,985,1.0,0,5584,1.0,1,1662,1.0,0,1342,1.0,0,2699,1.0,1,5460,1.0,0,3931,1.0,2,3266
None,luanfreitas5,None,None,3,8.0,703,1.0,1,1915,1.0,0,2308,1.0,0,2721,1.0,2,3271,1.0,1,7878,1.0,0,4283,1.0,0,4949,1.0,1,9082
Donda,Z3D3S,nunesgrf,None,4,8.0,746,1.0,0,750,1.0,0,5962,1.0,0,1909,1.0,0,1904,1.0,5,5427,1.0,0,3241,1.0,0,10435,1.0,1,8219
"Acaba semestre, por favor.",karenlimacdo,DRaposo,None,5,7.0,468,1.0,0,499,1.0,2,4792,1.0,0,1169,1.0,0,5025,1.0,0,1900,0.0,2,None,1.0,2,4323,1.0,0,5773
"[UnB|CIC] Jonas Brothers do HALLS, o terceiro ressucitou",AlvaroLuz,G_Cesario,None,6,5.0,179,1.0,0,1156,1.0,0,832,1.0,0,2404,1.0,0,2095,1.0,0,4418,0.0,2,None,0.0,0,None,0.0,1,None
[UnB-CiC] Saudade da Tong,giovana12,alice7lima,None,7,5.0,280,1.0,0,1244,1.0,0,830,1.0,2,3183,1.0,0,1547,1.0,3,4151,0.0,1,None,0.0,1,None,0.0,0,None
radical,rafaelsilva2535,tutukiller,None,8,5.0,324,1.0,0,1477,1.0,1,3132,1.0,0,3769,1.0,0,825,1.0,2,6832,0.0,2,None,0.0,1,None,0.0,3,None
Cabelo Rosa,natalylacerda,NightOff,None,9,5.0,410,1.0,0,3041,1.0,0,3584,1.0,0,2858,1.0,0,2307,1.0,2,10615,0.0,2,None,0.0,0,None,0.0,0,None
Jackie Kelso,ananaps,lflamellas,None,10,5.0,554,1.0,0,1493,1.0,1,2910,1.0,2,4589,1.0,0,2792,1.0,7,9655,0.0,5,None,0.0,0,None,0.0,0,None
None,lucas.costa19,None,None,11,5.0,616,1.0,1,4682,1.0,1,8596,1.0,0,6625,1.0,0,4423,1.0,0,10345,0.0,0,None,0.0,0,None,0.0,0,None
None,brunocmarino,None,None,12,5.0,702,1.0,0,1904,1.0,1,9120,1.0,0,5223,1.0,2,4411,1.0,6,10775,0.0,0,None,0.0,0,None,0.0,0,None
None,LucasABM,None,None,13,4.0,143,1.0,0,409,0.0,0,None,1.0,0,1549,1.0,0,1791,1.0,1,3781,0.0,0,None,0.0,0,None,0.0,0,None
None,leoakira,None,None,14,4.0,394,1.0,0,1191,0.0,0,None,1.0,0,6163,1.0,0,5361,1.0,2,8661,0.0,0,None,0.0,0,None,0.0,0,None
[UnB|CiC] paint.txt,gabrielsylar,auntduda,None,15,3.0,130,1.0,0,2902,0.0,2,None,1.0,0,1366,1.0,0,3625,0.0,1,None,0.0,0,None,0.0,0,None,0.0,0,None
[CiC][UnB] Cabeça de sanfona,pedrohmoura,gabriel.ritter99,None,16,2.0,74,1.0,0,1952,0.0,6,None,0.0,2,None,1.0,0,2530,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,Poskvansk,None,None,17,1.0,145,0.0,0,None,0.0,0,None,0.0,0,None,1.0,0,8710,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,pedrol3001,None,None,18,1.0,159,0.0,4,None,0.0,3,None,0.0,0,None,1.0,0,9586,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
