teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds,F_points,F_rejectedAttemptCount,F_bestSubmissionTimeSeconds,G_points,G_rejectedAttemptCount,G_bestSubmissionTimeSeconds,H_points,H_rejectedAttemptCount,H_bestSubmissionTimeSeconds,I_points,I_rejectedAttemptCount,I_bestSubmissionTimeSeconds,J_points,J_rejectedAttemptCount,J_bestSubmissionTimeSeconds,K_points,K_rejectedAttemptCount,K_bestSubmissionTimeSeconds,L_points,L_rejectedAttemptCount,L_bestSubmissionTimeSeconds,M_points,M_rejectedAttemptCount,M_bestSubmissionTimeSeconds,N_points,N_rejectedAttemptCount,N_bestSubmissionTimeSeconds
[UnB|FGA] Mensageiros do à main,ThiagoGMF,gustavolima00,jps12,1,13.0,783,1.0,0,1619,1.0,0,1853,1.0,0,547,1.0,0,1218,1.0,1,3748,1.0,0,2239,1.0,0,1071,1.0,3,7684,1.0,0,528,1.0,1,2927,1.0,0,8885,1.0,0,2105,0.0,22,None,1.0,2,4538
[UESB] se vira ae kkkk,igorqs,matheusdacach,GabrielNeri,2,13.0,1235,1.0,1,1288,1.0,0,3780,1.0,0,1478,1.0,1,5114,1.0,1,7153,1.0,0,3079,1.0,0,3424,1.0,0,2572,1.0,0,1909,1.0,0,5907,1.0,0,16844,1.0,0,4713,0.0,0,None,1.0,1,12399
[UnB|CIC] Plus Ultra,Caiogoia,kesp,Oscar2019,3,13.0,1402,1.0,1,569,1.0,0,1029,1.0,0,1233,1.0,4,3037,1.0,0,4885,1.0,0,1864,1.0,0,2368,1.0,2,8004,1.0,0,1634,1.0,4,16056,1.0,0,7901,1.0,0,1230,0.0,8,None,1.0,3,17873
[IFSULDEMINAS - Muzambinho],Ygor_Ribeiro,None,None,4,12.0,884,1.0,1,1267,1.0,0,2106,1.0,0,413,1.0,0,3664,1.0,0,7128,1.0,0,2454,1.0,0,1674,1.0,0,4918,1.0,0,714,1.0,0,15483,0.0,4,None,1.0,0,3122,0.0,0,None,1.0,1,8099
Dalhe,clement1n0t,None,None,5,11.0,1138,1.0,0,4168,1.0,0,3474,1.0,0,362,1.0,0,6478,1.0,1,10993,1.0,0,2054,1.0,0,4612,1.0,0,8264,1.0,0,2500,0.0,0,None,0.0,0,None,1.0,1,5867,0.0,0,None,1.0,2,15102
[UnB|CiC] 2|3 HERMANOS!Donde esta GOIA?,NurCorezzi,Gagarin,None,6,11.0,1456,1.0,0,4095,1.0,0,1530,1.0,0,598,1.0,0,2355,1.0,0,12461,1.0,0,5288,1.0,0,4671,1.0,8,13265,1.0,0,2357,0.0,0,None,1.0,0,17899,1.0,0,13549,0.0,0,None,0.0,0,None
[CIC | UnB] TWO GUYS AND A FURRY,EYZ,pedro_maschio,faustino,7,10.0,491,1.0,0,1686,1.0,0,2283,1.0,0,720,1.0,0,2063,1.0,0,7455,1.0,0,1293,1.0,0,1940,1.0,0,5257,1.0,0,1177,0.0,10,None,0.0,0,None,1.0,0,5786,0.0,0,None,0.0,0,None
O Dono da Lua,cebolinha,None,None,8,10.0,828,1.0,0,3693,1.0,0,4617,1.0,0,317,1.0,0,5429,1.0,0,11747,1.0,0,2679,1.0,0,4061,1.0,3,10567,1.0,0,1508,0.0,0,None,0.0,0,None,1.0,0,1799,0.0,0,None,0.0,0,None
[UnB | CiC] Só AC gostoso,brunocmarino,caioom00,pablo_aaaa,9,10.0,973,1.0,0,1622,1.0,0,2603,1.0,0,321,1.0,3,7567,1.0,0,11598,1.0,0,1978,1.0,0,10753,1.0,0,15892,1.0,0,594,0.0,0,None,0.0,0,None,1.0,0,2123,0.0,1,None,0.0,1,None
"Alberto, devolve meu celta",tilnoene,Maxwell01,None,10,10.0,1078,1.0,1,3583,1.0,0,4196,1.0,0,366,1.0,0,5232,1.0,8,16177,1.0,0,1577,1.0,0,3663,1.0,1,12692,1.0,0,975,0.0,0,None,0.0,0,None,1.0,1,3257,0.0,0,None,0.0,0,None
[IComp|UFAM] NP-Compeixe,RaquelFolz,julianamag039,thaynarosil,11,9.0,847,1.0,1,3471,1.0,1,1927,1.0,0,2236,1.0,1,5113,1.0,0,7540,1.0,0,4969,1.0,0,7172,0.0,0,None,1.0,0,2642,0.0,0,None,0.0,1,None,1.0,2,9978,0.0,0,None,0.0,0,None
[UNIFEI] Believer,MysD,None,None,12,8.0,609,1.0,0,1048,1.0,1,3331,1.0,0,1299,1.0,0,8452,0.0,0,None,1.0,1,4892,1.0,0,7210,0.0,0,None,1.0,0,1915,0.0,0,None,0.0,0,None,1.0,0,6255,0.0,0,None,0.0,0,None
[UnB | CiC] Garotas de Programa,tais,luanaferreira,anascimento,13,8.0,1119,0.0,2,None,1.0,0,2610,1.0,0,3560,1.0,1,16952,1.0,1,9798,1.0,0,10758,1.0,0,5606,0.0,0,None,1.0,0,8902,0.0,0,None,0.0,3,None,1.0,0,6732,0.0,0,None,0.0,0,None
[UNB|FGA] Heróis do Batalhão,magonegro,HB_fga,GabrielBatalha,14,7.0,616,0.0,3,None,1.0,0,6186,1.0,0,665,0.0,2,None,1.0,2,9338,1.0,0,2660,1.0,0,1267,0.0,1,None,1.0,0,3914,0.0,0,None,0.0,0,None,1.0,0,10654,0.0,1,None,0.0,0,None
[UnBCiC] Me vacina pfvr,vitordullens,carolestrella,strogoLoff,15,7.0,657,0.0,4,None,1.0,0,1977,1.0,0,912,1.0,2,9349,0.0,0,None,1.0,0,3464,1.0,5,9606,0.0,0,None,1.0,0,1598,0.0,0,None,0.0,0,None,1.0,0,4357,0.0,0,None,0.0,0,None
[UnB] Açaí com paçoca çoca,EsterDias,karenlimacdo,dudaholandah,16,7.0,692,0.0,3,None,1.0,0,4715,1.0,0,781,1.0,3,11969,0.0,1,None,1.0,0,4728,1.0,1,6426,0.0,5,None,1.0,0,2044,0.0,0,None,0.0,0,None,1.0,0,6180,0.0,0,None,0.0,0,None
[UnB] Eu prefiro C essa metamorfose ambulante,Joao.siqueira,B_Vargas,gss214,17,7.0,875,1.0,0,11857,1.0,0,14566,1.0,0,624,0.0,0,None,0.0,0,None,1.0,0,1286,1.0,0,11438,0.0,0,None,1.0,0,6939,0.0,0,None,0.0,1,None,1.0,0,6048,0.0,0,None,0.0,0,None
[UnB|CiC] PIRIRIN,Duds,None,None,18,7.0,1112,0.0,2,None,1.0,0,5707,1.0,0,6130,1.0,1,7834,0.0,0,None,1.0,0,9494,1.0,0,10952,0.0,0,None,1.0,0,12132,0.0,0,None,0.0,0,None,1.0,0,13397,0.0,0,None,0.0,0,None
hk,RayArdent,None,None,19,7.0,1166,0.0,0,None,1.0,5,7081,1.0,0,1563,1.0,2,14909,0.0,0,None,1.0,0,9406,1.0,0,11205,0.0,0,None,1.0,1,3884,0.0,0,None,0.0,0,None,1.0,0,12526,0.0,0,None,0.0,0,None
"[UnB|CiC] Avengers, Assembly!",davipatury,laranja,victorlisboa,20,6.0,555,0.0,3,None,1.0,0,6258,1.0,0,2610,0.0,4,None,0.0,0,None,1.0,0,4747,1.0,0,8681,0.0,0,None,1.0,0,3696,0.0,0,None,0.0,0,None,1.0,0,7447,0.0,2,None,0.0,0,None
[UnB|CiC] TriHALLS,Joao.F,Joaofs,Cadu,21,6.0,591,0.0,4,None,1.0,0,1709,1.0,0,1229,0.0,2,None,0.0,2,None,1.0,1,5373,1.0,1,3674,0.0,0,None,1.0,0,4623,0.0,0,None,0.0,0,None,1.0,0,16606,0.0,0,None,0.0,0,None
[UnB|CiC] GodzillaGiroflex,auntduda,pinguindeasadelta,edgarsam,22,6.0,624,0.0,1,None,1.0,0,12007,1.0,0,485,0.0,4,None,0.0,0,None,1.0,0,3012,1.0,0,10753,0.0,0,None,1.0,0,4491,0.0,1,None,0.0,0,None,1.0,0,6796,0.0,0,None,0.0,0,None
[UnB|CiC] 0xF4EE6E15,NOT_JOAO,alice7lima,G_Cesario,23,6.0,644,0.0,1,None,1.0,0,5608,1.0,0,809,0.0,0,None,0.0,0,None,1.0,0,8397,1.0,0,7240,0.0,0,None,1.0,1,4485,0.0,0,None,0.0,0,None,1.0,0,11151,0.0,0,None,0.0,0,None
[UnB|CiC] loch,gciri,None,None,24,6.0,810,0.0,0,None,1.0,0,6863,1.0,0,1092,0.0,0,None,0.0,0,None,1.0,0,12257,1.0,0,14101,0.0,0,None,1.0,1,2499,0.0,0,None,0.0,0,None,1.0,0,10737,0.0,0,None,0.0,0,None
[UnB|CiC] where is brazil?,cardosaum,None,None,25,6.0,988,0.0,3,None,1.0,0,8936,1.0,0,1061,0.0,1,None,0.0,0,None,1.0,0,11166,1.0,0,12674,0.0,0,None,1.0,2,6781,0.0,0,None,0.0,0,None,1.0,0,16424,0.0,0,None,0.0,0,None
[UnB] Unidos contra o brines,ArcUwU,delmarchild,victorear05,26,6.0,1010,0.0,0,None,1.0,0,11305,1.0,0,2266,0.0,1,None,0.0,0,None,1.0,1,17136,1.0,0,10268,0.0,0,None,1.0,0,8579,0.0,0,None,0.0,0,None,1.0,0,10075,0.0,0,None,0.0,0,None
[UnB FGA]  - Smoke heart,LuSp,rocsantos,foxlight,27,6.0,1137,0.0,0,None,1.0,0,14952,1.0,0,2192,0.0,0,None,0.0,0,None,1.0,1,17650,1.0,0,9503,0.0,0,None,1.0,1,8081,0.0,0,None,0.0,0,None,1.0,0,13564,0.0,0,None,0.0,0,None
[IFSULDEMINAS] Jairo Sousa,JairoPDS,None,None,28,5.0,326,0.0,0,None,1.0,0,5139,1.0,0,775,0.0,0,None,0.0,0,None,1.0,0,3666,1.0,1,7635,0.0,0,None,1.0,0,1318,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
[UFAC] Wrong Answer 1000%,arkantus,iHollyZinhO,andregomes,29,5.0,536,0.0,4,None,0.0,0,None,1.0,1,1104,0.0,0,None,0.0,0,None,1.0,1,8119,1.0,0,11675,0.0,0,None,1.0,0,3517,0.0,0,None,0.0,0,None,1.0,0,5518,0.0,0,None,0.0,0,None
noob,anagrama,None,None,30,5.0,570,0.0,3,None,0.0,0,None,1.0,0,1194,0.0,0,None,0.0,0,None,1.0,1,4892,1.0,0,11506,0.0,3,None,1.0,0,2773,0.0,0,None,0.0,0,None,1.0,0,12819,0.0,0,None,0.0,0,None
__123__,Atila,None,None,31,4.0,184,1.0,0,973,1.0,0,3077,1.0,0,1701,1.0,1,4190,0.0,1,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
[UnB]garotes de programa,edblk_br,carlosoftwar,None,32,4.0,502,0.0,5,None,1.0,0,8525,1.0,0,1140,0.0,0,None,0.0,0,None,1.0,3,10491,0.0,0,None,0.0,0,None,1.0,0,6451,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
CodeKaze,saimontavares,Gearlees_Wes,None,33,4.0,590,0.0,1,None,1.0,0,4024,1.0,0,2943,0.0,1,None,0.0,0,None,0.0,3,None,1.0,0,10517,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,1.0,0,17957,0.0,0,None,0.0,0,None
[UnB| FT]Osbrabos,Volpj,None,None,34,4.0,690,0.0,2,None,0.0,4,None,1.0,0,637,0.0,0,None,0.0,0,None,1.0,1,7686,0.0,1,None,0.0,0,None,1.0,0,17794,0.0,0,None,0.0,1,None,1.0,1,12967,0.0,0,None,0.0,0,None
No_name,Gabriel_10,None,None,35,2.0,153,0.0,0,None,0.0,0,None,1.0,0,3418,0.0,0,None,0.0,0,None,0.0,1,None,1.0,0,5855,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,1,None
